subject,stimulus,response,reactionTime
pot_pat,"4,3",same,4.974510908126831
pot_pat,"4,5",diff,8.298031091690063
pot_pat,"2,4",diff,3.1315040588378906
pot_pat,"3,1",same,3.2918550968170166
pot_pat,"7,7",same,3.4195971488952637
pot_pat,"3,3",same,3.0599920749664307
pot_pat,"2,2",diff,4.556781053543091
pot_pat,"7,6",diff,4.4117419719696045
pot_pat,"5,3",diff,2.9001970291137695
pot_pat,"5,6",same,2.8922688961029053
pot_pat,"1,1",same,3.2352209091186523
pot_pat,"4,4",diff,4.5188868045806885
pot_pat,"2,3",diff,9.162977933883667
pot_pat,"6,7",diff,3.059049129486084
pot_pat,"3,2",same,3.0754029750823975
pot_pat,"5,7",diff,4.612962007522583
pot_pat,"2,7",diff,2.507941961288452
pot_pat,"2,1",same,2.523908853530884
pot_pat,"6,5",same,2.547926902770996
pot_pat,"1,7",diff,2.157083034515381
pot_pat,"4,6",same,2.8101611137390137
pot_pat,"6,4",same,2.308851957321167
pot_pat,"7,1",diff,2.291969060897827
pot_pat,"1,2",same,2.883241891860962
pot_pat,"5,4",same,2.6766440868377686
pot_pat,"3,5",diff,2.2999279499053955
pot_pat,"7,2",diff,2.05641508102417
pot_pat,"6,6",same,2.913330078125
pot_pat,"1,3",same,2.7382829189300537
pot_pat,"4,2",diff,2.283998966217041
pot_pat,"5,5",diff,2.9880740642547607
pot_pat,"3,4",same,2.9160878658294678
pot_pat,"7,5",same,2.4759581089019775
